Year,Municipality,Crop,Mean_Yield,GP_Pred,Residual,Abs_Error
2009,HARRISON PARK,OATS,1.0726343900758095,0.7471643298732893,0.32547006020252023,0.32547006020252023
2009,HARRISON PARK,RED SPRING WHEAT,1.1848089204838617,0.5454478220957382,0.6393610983881235,0.6393610983881235
2009,HEADINGLEY,RED SPRING WHEAT,1.3461246472248354,0.6269474121348526,0.7191772350899828,0.7191772350899828
2009,HILLSBURG-ROBLIN-SHELL RIVER,ALFALFA,0.675,1.219081733361953,-0.544081733361953,0.544081733361953
2009,HILLSBURG-ROBLIN-SHELL RIVER,ALFALFA/GRASS MIX.,0.6338271139063592,1.0406321807437062,-0.4068050668373471,0.4068050668373471
2009,HILLSBURG-ROBLIN-SHELL RIVER,ARGENTINE CANOLA,1.0740235438439218,0.4139163944835491,0.6601071493603727,0.6601071493603727
2009,HILLSBURG-ROBLIN-SHELL RIVER,BARLEY,1.6842393903167965,0.9995759755801139,0.6846634147366826,0.6846634147366826
2009,HILLSBURG-ROBLIN-SHELL RIVER,OATS,0.8939330193615909,0.9340561491268509,-0.04012312976526,0.04012312976526
2009,HILLSBURG-ROBLIN-SHELL RIVER,RED SPRING WHEAT,1.2929532685512368,0.7909300771326587,0.5020231914185781,0.5020231914185781
2009,KELSEY,RED SPRING WHEAT,1.5149681954933385,0.7465207734963998,0.7684474219969387,0.7684474219969387
2009,KILLARNEY-TURTLE MTN,ARGENTINE CANOLA,1.0520499063419857,0.1783461540386373,0.8737037523033484,0.8737037523033484
2009,KILLARNEY-TURTLE MTN,OATS,2.01,0.6812379739084858,1.328762026091514,1.328762026091514
2009,KILLARNEY-TURTLE MTN,RED SPRING WHEAT,1.7006424630755863,0.4871611994755024,1.2134812636000838,1.2134812636000838
2009,LAC DU BONNET,ARGENTINE CANOLA,0.5916389520117632,0.262656885796394,0.3289820662153692,0.3289820662153692
2009,LAC DU BONNET,OATS,0.617,0.8181639279329856,-0.20116392793298565,0.20116392793298565
2009,LAC DU BONNET,RED SPRING WHEAT,0.6442924145917777,0.587398405626158,0.05689400896561969,0.05689400896561969
2009,LORNE,ALFALFA,1.5280000000000002,1.2495440852543085,0.27845591474569176,0.27845591474569176
2009,LORNE,ARGENTINE CANOLA,1.104158054115677,0.3206141381915806,0.7835439159240964,0.7835439159240964
2009,LORNE,BARLEY,1.997455078125,0.8578966544637032,1.1395584236612968,1.1395584236612968
2009,LORNE,FLAX,0.7236651302143351,0.046922378769693074,0.676742751444642,0.676742751444642
2009,LORNE,OATS,1.782,0.8340565041047721,0.947943495895228,0.947943495895228
2009,LORNE,RED SPRING WHEAT,1.7373126503026786,0.6313370817407542,1.1059755685619244,1.1059755685619244
2009,LOUISE,ARGENTINE CANOLA,1.2050720463911648,0.3303468365297475,0.8747252098614173,0.8747252098614173
2009,LOUISE,BARLEY,2.076674725867337,0.8698351023242316,1.2068396235431056,1.2068396235431056
2009,LOUISE,FLAX,0.7627911430281269,0.057859880739257186,0.7049312622888697,0.7049312622888697
2009,LOUISE,OATS,1.6149500796601168,0.848468120259547,0.7664819594005698,0.7664819594005698
2009,LOUISE,RED SPRING WHEAT,1.812606189864049,0.6397820482043498,1.1728241416596994,1.1728241416596994
2009,MACDONALD,ARGENTINE CANOLA,0.8435420541025337,0.3178146688006871,0.5257273853018466,0.5257273853018466
2009,MACDONALD,BARLEY,1.4803696043165466,0.847309208956897,0.6330603953596496,0.6330603953596496
2009,MACDONALD,FLAX,0.6195885536362963,0.04996206974353368,0.5696264838927626,0.5696264838927626
2009,MACDONALD,OATS,1.8747056762438683,0.8776009652376267,0.9971047110062417,0.9971047110062417
2009,MACDONALD,RED SPRING WHEAT,1.3335153521305645,0.6252520353809093,0.7082633167496551,0.7082633167496551
2009,MCCREARY,ALFALFA/GRASS MIX.,0.9738829588014982,1.1087807499561568,-0.1348977911546586,0.1348977911546586
2009,MINITONAS-BOWSMAN,ALFALFA/GRASS MIX.,0.9722045985970382,1.1303172652157563,-0.15811266661871803,0.15811266661871803
2009,MINITONAS-BOWSMAN,ARGENTINE CANOLA,1.04778965875428,0.41403027537204784,0.6337593833822323,0.6337593833822323
2009,MINITONAS-BOWSMAN,RED SPRING WHEAT,1.4922152536069495,0.7930414901608385,0.699173763446111,0.699173763446111
2009,MINTO-ODANAH,ARGENTINE CANOLA,1.0850234910702643,0.2750323657292637,0.8099911253410006,0.8099911253410006
2009,MINTO-ODANAH,BARLEY,1.8730972991689752,0.8270288796024517,1.0460684195665233,1.0460684195665233
2009,MINTO-ODANAH,RED SPRING WHEAT,1.5374572683079817,0.5923750526579256,0.9450822156500561,0.9450822156500561
2009,MONTCALM,ARGENTINE CANOLA,0.9063682719546742,0.32228573378271297,0.5840825381719612,0.5840825381719612
2009,MONTCALM,BARLEY,1.7480582765034096,0.8622444682454986,0.885813808257911,0.885813808257911
2009,MONTCALM,OATS,1.943802251935257,0.857519768754408,1.0862824831808489,1.0862824831808489
2009,MONTCALM,RED SPRING WHEAT,1.497987428094266,0.6422905430422391,0.8556968850520269,0.8556968850520269
2009,MORRIS,ARGENTINE CANOLA,0.9074506744148184,0.24463097754801844,0.6628196968668,0.6628196968668
2009,MORRIS,BARLEY,1.5525608720818058,0.7748255070771297,0.7777353650046761,0.7777353650046761
2009,MORRIS,FLAX,0.6437067419461973,-0.020156932854434872,0.6638636748006321,0.6638636748006321
2009,MORRIS,OATS,1.7793267834885256,0.7982615745378276,0.9810652089506979,0.9810652089506979
2009,MORRIS,RED SPRING WHEAT,1.3732872154697973,0.5542980723618236,0.8189891431079737,0.8189891431079737
2009,MOSSEY RIVER,ALFALFA,1.231,1.2455387572827727,-0.014538757282772652,0.014538757282772652
2009,MOSSEY RIVER,ALFALFA/GRASS MIX.,0.8614486430333722,1.0048169152310806,-0.14336827219770842,0.14336827219770842
2009,MOSSEY RIVER,ARGENTINE CANOLA,1.0072687839610268,0.2744290067202346,0.7328397772407922,0.7328397772407922
2009,MOSSEY RIVER,RED SPRING WHEAT,1.289752515417072,0.6331520859374822,0.6566004294795897,0.6566004294795897
2009,MOUNTAIN,ALFALFA/GRASS MIX.,0.6290199647680564,0.9322785100919015,-0.3032585453238451,0.3032585453238451
2009,MOUNTAIN,ARGENTINE CANOLA,0.9385485769980508,0.22861585619094038,0.7099327208071105,0.7099327208071105
2009,MOUNTAIN,RED SPRING WHEAT,1.3848549402671813,0.6043604844549141,0.7804944558122672,0.7804944558122672
2009,NORTH CYPRESS-LANGFORD,ALFALFA,1.6879999999999995,1.3596973207780771,0.32830267922192236,0.32830267922192236
2009,NORTH CYPRESS-LANGFORD,ALFALFA/GRASS MIX.,1.3679526564965807,1.1505883919370177,0.21736426455956304,0.21736426455956304
2009,NORTH CYPRESS-LANGFORD,ARGENTINE CANOLA,1.0917542071265012,0.40816597408688504,0.6835882330396161,0.6835882330396161
2009,NORTH CYPRESS-LANGFORD,BARLEY,1.8648755575379123,0.9555069446688254,0.909368612869087,0.909368612869087
2009,NORTH CYPRESS-LANGFORD,FALL RYE,1.4300206955471433,0.4864500638917536,0.9435706316553897,0.9435706316553897
2009,NORTH CYPRESS-LANGFORD,OATS,1.2801904347826087,0.9196127127430094,0.36057772203959937,0.36057772203959937
2009,NORTH CYPRESS-LANGFORD,PROC POTATOES-IRRIG,12.746547801760146,8.771476728732308,3.975071073027838,3.975071073027838
2009,NORTH CYPRESS-LANGFORD,RED SPRING WHEAT,1.4679179711823334,0.7214099394870891,0.7465080316952443,0.7465080316952443
